61865,-2.934,57.155,345
14963,-2.61917,57.1085,146
14906,-2.72951,57.2616,191
14907,-2.72695,57.2538,160
165,-2.15601,57.2995,107
55824,-2.14685,57.5538,35
18976,-2.29046,57.1476,115
162,-2.24296,57.6488,231
191,-2.57114,56.5607,29
30203,-2.62451,56.5406,6
15041,-2.58582,56.5624,18
15042,-2.60867,56.5668,28
15214,-3.32523,56.8119,366
182,-3.06195,56.5386,232
15226,-3.21728,56.716,259
15225,-3.22155,56.7141,255
15227,-3.22693,56.7114,265
24097,-2.78391,56.7651,149
15010,-2.79679,56.767,210
55696,-2.54845,56.8001,26
15233,-3.17383,56.6849,209
15059,-3.11706,56.477,79
15060,-3.13186,56.4832,131
15220,-3.22028,56.7582,345
190,-2.38439,56.4365,39
15034,-2.62263,56.723,20
15004,-2.99365,56.9102,280
188,-2.74831,56.4681,5
16688,-2.7002,56.4998,5
55877,-2.64712,56.5261,16
189,-2.72308,56.5069,27
16689,-2.71807,56.4997,9
15051,-3.02669,56.4975,152
15222,-3.21316,56.7403,317
15028,-3.13608,56.7868,265
15027,-2.98951,56.7256,125
15224,-3.2024,56.7107,485
15045,-2.77576,56.5537,161
15044,-2.78092,56.5541,161
15215,-3.33215,56.7759,311
15032,-2.91736,56.7464,193
183,-2.93829,56.4704,45
15061,-3.00334,56.4744,87
15058,-2.97699,56.4602,12
15057,-2.96717,56.4567,4
16690,-2.9559,56.4604,4
18918,-3.01737,56.4527,4
15228,-3.21996,56.698,229
15043,-2.80858,56.554,177
16691,-2.93085,56.6304,69
15239,-2.88713,56.6433,82
15237,-2.86926,56.6461,82
55963,-2.82207,56.6511,80
186,-2.77327,56.6575,67
185,-2.92726,56.6834,91
15038,-2.84025,56.6616,91
15240,-2.90922,56.6409,61
15238,-2.87415,56.6461,69
56667,-3.33042,56.767,295
55772,-3.02771,56.7752,232
15243,-2.99742,56.62,76
184,-2.99805,56.6255,62
15244,-3.00903,56.6238,67
15219,-3.22976,56.7704,351
15229,-3.15118,56.7453,320
15221,-3.18955,56.7692,366
15003,-3.02843,56.9207,471
15033,-2.90766,56.7509,210
15029,-3.03771,56.7221,183
15005,-2.96878,56.9014,270
16624,-2.91364,56.9114,255
15006,-2.93453,56.9107,273
15270,-3.23752,56.536,68
15021,-2.46935,56.7498,9
15050,-3.06666,56.5322,190
15242,-3.00061,56.6793,171
15234,-3.18652,56.6731,210
18901,-3.01031,56.6756,135
