src_id,lon,lat,alt.m
342,-1.41293,54.1346,33
358,-0.66999,54.3586,262
17314,-1.53145,54.2968,33
346,-1.24956,54.045,14
16596,-1.38856,54.2045,25
19204,-0.88265,53.4059,68
556,-1.24969,53.0053,117
554,-1.24961,52.8361,43
613,-1.09712,51.6199,57
605,-1.57649,51.758,82
607,-1.40465,51.9977,105
825,-1.11173,51.6026,47
17336,-4.31873,56.4235,564
212,-3.72734,56.3265,35
1190,-3.46411,52.757,360
1238,-3.45029,52.2153,196
16611,-3.61341,52.0629,307
24125,-4.53122,55.9068,59
52,-5.63159,57.8592,11
30270,-5.68744,57.4181,773
66,-5.30503,57.613,25
67,-4.89419,57.7251,269
79,-3.96524,57.8191,4
651,-2.42631,52.7774,66
643,-2.66329,52.7943,72
61949,-2.75489,52.9252,89
1285,-3.60775,51.0864,348
1302,-2.64148,51.0059,20
1272,-3.18728,51.4878,9
19206,-3.43952,51.405,49
562,-1.00682,53.4824,10
18905,-1.33739,53.4497,31
526,-1.48728,53.383,146
622,-2.2688,52.9986,179
25054,-2.27272,53.0008,202
30690,-1.97993,53.1275,298
61948,-2.24066,52.7128,102
435,0.56723,52.2601,75
413,0.6729,52.4588,6
440,0.9591,52.1234,89
30620,-0.22786,51.1435,67
719,-0.47478,51.3103,38
62139,-0.47392,51.3098,38
44,-4.44101,58.2881,81
40,-4.72596,58.1683,99
48,-3.92063,58.2306,103
307,-1.59687,54.9771,52
332,-1.39328,54.9034,70
1543,-7.57668,54.707,49
595,-1.32987,52.3584,107
19187,-1.68925,52.4798,96
596,-1.60345,52.2054,47
1255,-3.98056,51.5651,43
24945,-3.80001,51.583,30
24102,-1.53498,52.4241,119
587,-1.93374,52.4751,160
18994,-1.9853,52.388,195
56424,-1.92619,52.456,140
586,-1.92295,52.4541,130
24948,-2.12842,52.5857,156
724,-0.20951,51.0821,144
795,-0.29194,50.8356,2
779,-0.92098,50.8142,4
513,-1.86526,53.811,262
516,-1.77234,53.8134,134
534,-1.31722,53.8687,54
24940,-1.78367,53.6437,110
523,-1.55965,53.8004,64
1039,-4.93414,54.859,11
889,-1.75317,51.1613,126
888,-1.80443,51.2012,132
886,-1.99094,51.5028,145
61844,-2.3476,52.3842,58
23,-2.89988,58.9539,26
12,-0.85365,60.7489,15
3,-1.62777,59.5265,57
9,-1.18299,60.1395,82
19211,-6.89629,57.7803,13
19172,-5.80418,57.2572,18
18903,-7.38385,57.3578,4
54,-6.31772,58.2138,15
1588,32.983,34.583,26
1049,-4.36788,54.4146,9
1046,-4.6307,54.0851,16
1386,-6.29488,49.914,31
1575,-2.196,49.208,84
1600,73.15,0.683,2
1586,14.483,35.85,74
19018,-33,62,0
19019,-19,59,0
19020,-20,52.5,0
19021,-16,45,0
19022,-20,57,0
1615,-64.267,-65.25,9
1595,50.617,26.267,2
1582,6.133,51.2,74
1580,8.3,51.93,70
1592,45.033,12.833,3
