x,ePR,eP,gP,aP,eBR,eB,gB,mB,eqmC,eqmP,eqmB,eqmA
0.45,0.875,0.63,0.556,0.6006,0.6,0.55,4.73,0.14,0.0897,0.5103,9.945,10.55
0.45,0.875,0.63,0.556,0.6504,0.6,0.55,4.73,0.14,0.0897,0.4712,9.055,9.61
0.45,0.875,0.63,0.556,0.7,0.6,0.55,4.73,0.14,0.0897,0.4375,8.29,8.81
0.5,0.875,0.63,0.556,0.2004,0.6,0.55,4.73,0.14,0.0897,1.529,32.94,34.53
0.5,0.875,0.63,0.556,0.2505,0.6,0.55,4.73,0.14,0.0897,1.224,25.98,27.3
0.5,0.875,0.63,0.556,0.3005,0.6,0.55,4.73,0.14,0.0897,1.0205,21.34,22.45
0.5,0.875,0.63,0.556,0.3503,0.6,0.55,4.73,0.14,0.0897,0.8745,18.05,19.0
0.5,0.875,0.63,0.556,0.4004,0.6,0.55,4.73,0.14,0.0897,0.7656,15.555,16.4
0.5,0.875,0.63,0.556,0.4504,0.6,0.55,4.73,0.14,0.0897,0.6807,13.625,14.39
0.5,0.875,0.63,0.556,0.5005,0.6,0.55,4.73,0.14,0.0897,0.6123,12.08,12.78
0.5,0.875,0.63,0.556,0.5503,0.6,0.55,4.73,0.14,0.0897,0.5566,10.81,11.46
0.5,0.875,0.63,0.556,0.6006,0.6,0.55,4.73,0.14,0.0897,0.5103,9.76,10.36
0.5,0.875,0.63,0.556,0.6504,0.6,0.55,4.73,0.14,0.0897,0.4712,8.87,9.43
0.5,0.875,0.63,0.556,0.7,0.6,0.55,4.73,0.14,0.0897,0.4375,8.1,8.625
0.0,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.0,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,22.14,26.95
0.0,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,11.18,13.81
0.0,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,7.477,9.37
0.0,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,5.617,7.14
0.0,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,4.5,5.8
0.0,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.4058,0.746,3.752,4.902
0.0,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.4058,0.6396,3.217,4.26
0.0,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.4058,0.56,2.816,3.781
0.0,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.4058,0.498,2.504,3.408
0.0,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.4058,0.4482,2.254,3.107
0.05,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.05,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,21.95,26.77
0.05,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,10.99,13.625
0.05,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,7.293,9.19
0.05,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,5.434,6.957
0.05,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,4.312,5.613
0.05,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.4058,0.746,3.566,4.72
0.05,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.4058,0.6396,3.031,4.08
0.05,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.4058,0.56,2.63,3.596
0.05,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.4058,0.498,2.318,3.223
0.05,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.4058,0.4482,2.068,2.922
0.1,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.1,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,21.77,26.58
0.1,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,10.81,13.44
0.1,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,7.11,9.0
0.1,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,5.246,6.77
0.1,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,4.13,5.43
0.1,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.4058,0.746,3.38,4.53
0.1,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.4058,0.6396,2.848,3.893
0.1,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.4058,0.56,2.445,3.412
0.1,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.4058,0.498,2.133,3.037
0.1,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.4058,0.4482,1.884,2.738
0.15,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.15,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,21.58,26.39
0.15,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,10.625,13.25
0.15,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,6.92,8.81
0.15,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,5.062,6.586
0.15,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,3.943,5.242
0.15,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.4058,0.746,3.195,4.348
0.15,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.4058,0.6396,2.662,3.707
0.15,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.4058,0.56,2.26,3.227
0.15,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.4058,0.498,1.948,2.852
0.15,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.4058,0.4482,1.698,2.553
0.2,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.4058,224.5,1128.0,1353.0
0.2,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,21.4,26.2
0.2,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,10.44,13.07
0.2,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,6.74,8.63
0.2,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,4.88,6.402
0.2,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,3.758,5.06
0.2,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.4058,0.746,3.012,4.164
0.2,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.4058,0.6396,2.477,3.521
0.2,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.4058,0.56,2.076,3.041
0.2,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.4058,0.498,1.764,2.668
0.2,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.4058,0.4482,1.514,2.367
0.25,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.4058,224.5,1128.0,1353.0
0.25,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,21.22,26.03
0.25,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,10.26,12.88
0.25,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,6.55,8.445
0.25,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,4.69,6.215
0.25,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,3.574,4.875
0.25,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.4058,0.746,2.826,3.979
0.25,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.4058,0.6396,2.291,3.338
0.25,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.4058,0.56,1.891,2.855
0.25,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,1.098,0.498,-0.0,1.596
0.25,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.9883,0.4482,-0.0,1.437
0.3,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.4058,224.5,1128.0,1352.0
0.3,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,21.03,25.84
0.3,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,10.07,12.695
0.3,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,6.367,8.26
0.3,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,4.508,6.03
0.3,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,3.389,4.688
0.3,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.4058,0.746,2.64,3.793
0.3,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,1.176,0.6396,-6.0e-8,1.815
0.3,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,1.029,0.56,-0.0,1.589
0.3,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.915,0.498,-0.0,1.413
0.3,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.8237,0.4482,-0.0,1.271
0.35,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.4058,224.5,1127.0,1352.0
0.35,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,20.84,25.66
0.35,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,9.88,12.516
0.35,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,6.184,8.08
0.35,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,4.32,5.844
0.35,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,3.203,4.504
0.35,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,1.175,0.746,-6.0e-8,1.921
0.35,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,1.008,0.6396,-0.0,1.647
0.35,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.882,0.56,-0.0,1.442
0.35,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.784,0.498,-0.0,1.282
0.35,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.706,0.4482,-0.0,1.154
0.4,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.4,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,20.66,25.47
0.4,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,9.695,12.33
0.4,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,5.996,7.89
0.4,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,4.137,5.66
0.4,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.4058,0.8945,3.018,4.32
0.4,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,1.028,0.746,-0.0,1.774
0.4,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.8813,0.6396,-0.0,1.521
0.4,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.7715,0.56,-6.0e-8,1.332
0.4,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.686,0.498,-0.0,1.184
0.4,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.6177,0.4482,-0.0,1.065
0.45,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.45,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,20.47,25.28
0.45,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,9.516,12.14
0.45,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,5.812,7.707
0.45,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,3.951,5.477
0.45,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,1.096,0.8945,-0.0,1.99
0.45,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.4058,0.746,2.086,3.238
0.45,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.7837,0.6396,-0.0,1.424
0.45,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.686,0.56,-0.0,1.246
0.45,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.61,0.498,-0.0,1.107
0.45,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.549,0.4482,-0.0,0.997
0.5,0.875,0.63,0.4075,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.5,0.875,0.63,0.4075,0.051,0.6,0.55,1.046,0.14,0.4058,4.402,20.3,25.1
0.5,0.875,0.63,0.4075,0.101,0.6,0.55,1.046,0.14,0.4058,2.223,9.33,11.96
0.5,0.875,0.63,0.4075,0.151,0.6,0.55,1.046,0.14,0.4058,1.487,5.63,7.52
0.5,0.875,0.63,0.4075,0.201,0.6,0.55,1.046,0.14,0.4058,1.117,3.768,5.29
0.5,0.875,0.63,0.4075,0.251,0.6,0.55,1.046,0.14,0.9863,0.8945,-0.0,1.881
0.5,0.875,0.63,0.4075,0.301,0.6,0.55,1.046,0.14,0.8223,0.746,-0.0,1.568
0.5,0.875,0.63,0.4075,0.351,0.6,0.55,1.046,0.14,0.705,0.6396,-0.0,1.345
0.5,0.875,0.63,0.4075,0.401,0.6,0.55,1.046,0.14,0.617,0.56,-6.0e-8,1.178
0.5,0.875,0.63,0.4075,0.451,0.6,0.55,1.046,0.14,0.4124,0.498,0.602,1.513
0.5,0.875,0.63,0.4075,0.501,0.6,0.55,1.046,0.14,0.4941,0.4482,-0.0,0.9424
0.0,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.0,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,178.1,182.6
0.0,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,89.94,92.2
0.0,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,60.16,61.7
0.0,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,45.2,46.38
0.0,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,36.2,37.12
0.0,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,30.17,30.97
0.0,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,25.88,26.56
0.0,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,22.66,23.27
0.0,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,20.14,20.69
0.0,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,18.12,18.62
0.05,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.05,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,177.9,182.4
0.05,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,89.75,92.0
0.05,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,59.97,61.5
0.05,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,45.0,46.2
0.05,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,36.0,36.94
0.05,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,30.0,30.8
0.05,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,25.69,26.39
0.05,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,22.47,23.08
0.05,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,19.95,20.5
0.05,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,17.95,18.44
0.1,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.1,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,177.8,182.2
0.1,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,89.56,91.8
0.1,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,59.78,61.3
0.1,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,44.8,46.0
0.1,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,35.8,36.75
0.1,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,29.81,30.61
0.1,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,25.52,26.2
0.1,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,22.28,22.89
0.1,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,19.77,20.31
0.1,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,17.77,18.27
0.15,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.15,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,177.5,182.0
0.15,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,89.4,91.6
0.15,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,59.6,61.12
0.15,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,44.62,45.8
0.15,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,35.62,36.6
0.15,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,29.62,30.42
0.15,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,25.33,26.02
0.15,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,22.1,22.7
0.15,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,19.6,20.14
0.15,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,17.58,18.08
0.2,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.2,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,177.4,181.9
0.2,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,89.2,91.5
0.2,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,59.4,60.97
0.2,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,44.44,45.62
0.2,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,35.44,36.4
0.2,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,29.44,30.23
0.2,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,25.14,25.83
0.2,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,21.9,22.52
0.2,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,19.4,19.95
0.2,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,17.39,17.89
0.25,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.25,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,177.1,181.6
0.25,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,89.0,91.3
0.25,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,59.22,60.78
0.25,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,44.28,45.44
0.25,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,35.25,36.22
0.25,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,29.25,30.05
0.25,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,24.95,25.64
0.25,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,21.73,22.34
0.25,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,19.22,19.77
0.25,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,17.2,17.7
0.3,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.3,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,177.0,181.5
0.3,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,88.8,91.1
0.3,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,59.03,60.6
0.3,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,44.1,45.25
0.3,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,35.1,36.03
0.3,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,29.06,29.86
0.3,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,24.77,25.45
0.3,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,21.55,22.16
0.3,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,19.03,19.58
0.3,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,17.02,17.52
0.35,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.35,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,176.9,181.2
0.35,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,88.6,90.94
0.35,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,58.88,60.4
0.35,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,43.9,45.06
0.35,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,34.9,35.84
0.35,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,28.88,29.67
0.35,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,24.58,25.28
0.35,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,21.36,21.97
0.35,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,18.84,19.39
0.35,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,16.83,17.33
0.4,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.4,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.0,0.00601,176.9,176.9
0.4,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,88.44,90.75
0.4,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,58.7,60.22
0.4,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,43.72,44.88
0.4,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,34.72,35.66
0.4,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,28.7,29.5
0.4,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,24.4,25.1
0.4,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,21.17,21.78
0.4,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,18.66,19.2
0.4,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,16.66,17.16
0.45,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.45,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,176.5,180.9
0.45,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,88.25,90.56
0.45,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,58.5,60.03
0.45,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,43.53,44.7
0.45,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,34.53,35.47
0.45,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,28.52,29.31
0.45,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,24.22,24.9
0.45,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,20.98,21.6
0.45,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,18.47,19.03
0.45,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,16.47,16.97
0.5,0.875,0.63,0.4075,0.001,0.6,0.55,8.414,0.14,0.05045,224.5,9080.0,9304.0
0.5,0.875,0.63,0.4075,0.051,0.6,0.55,8.414,0.14,0.05045,4.402,176.2,180.8
0.5,0.875,0.63,0.4075,0.101,0.6,0.55,8.414,0.14,0.05045,2.223,88.06,90.4
0.5,0.875,0.63,0.4075,0.151,0.6,0.55,8.414,0.14,0.05045,1.487,58.3,59.84
0.5,0.875,0.63,0.4075,0.201,0.6,0.55,8.414,0.14,0.05045,1.117,43.34,44.5
0.5,0.875,0.63,0.4075,0.251,0.6,0.55,8.414,0.14,0.05045,0.8945,34.34,35.28
0.5,0.875,0.63,0.4075,0.301,0.6,0.55,8.414,0.14,0.05045,0.746,28.33,29.12
0.5,0.875,0.63,0.4075,0.351,0.6,0.55,8.414,0.14,0.05045,0.6396,24.03,24.72
0.5,0.875,0.63,0.4075,0.401,0.6,0.55,8.414,0.14,0.05045,0.56,20.8,21.4
0.5,0.875,0.63,0.4075,0.451,0.6,0.55,8.414,0.14,0.05045,0.498,18.3,18.84
0.5,0.875,0.63,0.4075,0.501,0.6,0.55,8.414,0.14,0.05045,0.4482,16.28,16.78
