x,ePR,eP,gP,aP,eBR,eB,gB,mB,eqmC,eqmP,eqmB,eqmA
0.2,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.4058,0.4067,1.305,2.117
0.2,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.981,0.356,-0.0,1.337
0.2,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.8726,0.3167,-0.0,1.188
0.2,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.785,0.285,-0.0,1.07
0.25,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.4058,142.8,716.5,859.5
0.25,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,13.15,16.36
0.25,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,6.184,8.0
0.25,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,0.4058,0.9453,3.828,5.18
0.25,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,0.4058,0.7104,2.646,3.762
0.25,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,0.4058,0.569,1.935,2.908
0.25,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,1.046,0.4744,-0.0,1.52
0.25,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.8965,0.4067,-0.0,1.304
0.25,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.7847,0.356,-0.0,1.141
0.25,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.4058,0.3167,0.666,1.389
0.25,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.6284,0.285,-0.0,0.913
0.3,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.4058,142.8,716.5,859.5
0.3,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,12.96,16.17
0.3,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,5.996,7.816
0.3,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,0.4058,0.9453,3.643,4.996
0.3,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,0.4058,0.7104,2.46,3.576
0.3,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,1.045,0.569,-0.0,1.613
0.3,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,0.8716,0.4744,-0.0,1.346
0.3,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.747,0.4067,-0.0,1.154
0.3,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.6543,0.356,-0.0,1.01
0.3,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.5815,0.3167,0.0,0.898
0.3,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.5234,0.285,-0.0,0.8086
0.35,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.4058,142.8,716.0,859.5
0.35,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,12.78,15.984
0.35,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,5.812,7.63
0.35,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,0.4058,0.9453,3.459,4.81
0.35,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,1.118,0.7104,-6.0e-8,1.829
0.35,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,0.8955,0.569,-0.0,1.465
0.35,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,0.747,0.4744,-0.0,1.222
0.35,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.6406,0.4067,-0.0,1.047
0.35,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.5605,0.356,-0.0,0.9165
0.35,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.4985,0.3167,-0.0,0.815
0.35,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.4487,0.285,-0.0,0.734
0.4,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.4,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,12.59,15.8
0.4,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,5.625,7.445
0.4,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,0.4058,0.9453,3.273,4.625
0.4,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,0.9785,0.7104,-0.0,1.688
0.4,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,0.7837,0.569,-0.0,1.353
0.4,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,0.6533,0.4744,-0.0,1.128
0.4,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.5605,0.4067,-0.0,0.9673
0.4,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.4905,0.356,-0.0,0.8467
0.4,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.4363,0.3167,-0.0,0.753
0.4,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.3926,0.285,-0.0,0.6777
0.45,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.45,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,12.41,15.62
0.45,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,5.44,7.26
0.45,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,1.158,0.9453,-6.0e-8,2.104
0.45,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,0.87,0.7104,-0.0,1.58
0.45,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,0.697,0.569,-0.0,1.266
0.45,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,0.581,0.4744,-0.0,1.056
0.45,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.498,0.4067,-0.0,0.905
0.45,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.436,0.356,-0.0,0.792
0.45,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.3877,0.3167,-0.0,0.704
0.45,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.349,0.285,-0.0,0.634
0.5,0.875,0.63,0.259,0.001,0.6,0.55,1.046,0.14,0.0,0.0,0.0,0.0
0.5,0.875,0.63,0.259,0.051,0.6,0.55,1.046,0.14,0.4058,2.799,12.23,15.43
0.5,0.875,0.63,0.259,0.101,0.6,0.55,1.046,0.14,0.4058,1.413,5.258,7.074
